id,title,difficulty,acceptance_rate,likes,related_topics,time_taken,difficulty_label,Cluster_label
1,Two Sum,Easy,46.7,20217,"Array,Hash Table",15,0,10
2,Add Two Numbers,Medium,35.7,11350,"Linked List,Math,Recursion",30,2,10
3,Longest Substring Without Repeating Characters,Medium,31.5,13810,"Hash Table,Two Pointers,String,Sliding Window",30,2,10
4,Median of Two Sorted Arrays,Hard,31.4,9665,"Array,Binary Search,Divide and Conquer",50,1,10
5,Longest Palindromic Substring,Medium,30.6,10271,"String,Dynamic Programming",30,2,10
6,ZigZag Conversion,Medium,38.2,2270,String,30,2,2
7,Reverse Integer,Easy,25.9,4548,Math,15,0,20
8,String to Integer (atoi),Medium,15.7,189,"Math,String",30,2,4
9,Palindrome Number,Easy,50.0,3199,Math,15,0,16
10,Regular Expression Matching,Hard,27.4,5583,"String,Dynamic Programming,Backtracking",50,1,19
11,Container With Most Water,Medium,52.9,9031,"Array,Two Pointers",30,2,8
12,Integer to Roman,Medium,57.1,1675,"Math,String",30,2,13
13,Roman to Integer,Easy,57.0,419,"Math,String",15,0,17
14,Longest Common Prefix,Easy,36.2,3958,String,15,0,20
15,3Sum,Medium,28.3,10032,"Array,Two Pointers",30,2,10
16,3Sum Closest,Medium,46.3,3095,"Array,Two Pointers",30,2,23
17,Letter Combinations of a Phone Number,Medium,49.5,5684,"String,Backtracking,Depth-first Search,Recursion",30,2,19
18,4Sum,Medium,35.1,3154,"Array,Hash Table,Two Pointers",30,2,23
19,Remove Nth Node From End of List,Medium,35.9,5039,"Linked List,Two Pointers",30,2,19
20,Valid Parentheses,Easy,40.0,7188,"String,Stack",15,0,8
21,Merge Two Sorted Lists,Easy,56.4,6467,"Linked List,Recursion",15,0,8
22,Generate Parentheses,Medium,65.7,7496,"String,Backtracking",30,2,8
23,Merge k Sorted Lists,Hard,43.0,6892,"Linked List,Divide and Conquer,Heap",50,1,8
24,Swap Nodes in Pairs,Medium,53.5,3482,"Linked List,Recursion",30,2,23
25,Reverse Nodes in k-Group,Hard,45.3,3490,Linked List,50,1,23
26,Remove Duplicates from Sorted Array,Easy,46.8,3727,"Array,Two Pointers",15,0,20
27,Remove Element,Easy,49.5,2044,"Array,Two Pointers",15,0,16
28,Implement strStr(),Easy,35.3,2261,"Two Pointers,String",15,0,16
29,Divide Two Integers,Medium,16.9,1727,"Math,Binary Search",30,2,2
30,Substring with Concatenation of All Words,Hard,26.4,1209,"Hash Table,Two Pointers,String",50,1,15
31,Next Permutation,Medium,33.9,5271,Array,30,2,19
32,Longest Valid Parentheses,Hard,29.9,5015,"String,Dynamic Programming",50,1,19
33,Search in Rotated Sorted Array,Medium,36.1,7349,"Array,Binary Search",30,2,8
34,Find First and Last Position of Element in Sorted Array,Medium,37.5,5257,"Array,Binary Search",30,2,19
35,Search Insert Position,Easy,42.9,3384,"Array,Binary Search",15,0,16
36,Valid Sudoku,Medium,50.8,2458,Hash Table,30,2,13
37,Sudoku Solver,Hard,47.0,2662,"Hash Table,Backtracking",50,1,15
38,Count and Say,Medium,46.3,367,String,30,2,3
39,Combination Sum,Medium,59.7,5708,"Array,Backtracking",30,2,19
